Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;Marl;m;a;51.665782, 7.131589;Nordrhein-Westfalen;Sonde;0,06;;21;700;;;;2010;;Wärme;;-;;;;;https://norddeutsche-geothermietagung.de/vortraege/2022/11_lohmar_potenzial_geothermische_nachnutzung_sigmundshall.pdf;;"Zeche Auguste
Victoria
";;;
A_Projekt in Betrieb;Berlin (Reichstag);maps;a;52.5186333,13.3748185;Berlin;Aquiferspeicher;;;70;300;27,8;;;1999;;Wärme;;;;;;;;;;;;
A_Projekt in Betrieb;Neuruppin;geotis;;52.92971670587752, 12.830142096367828;Brandenburg;Hydrogeothermie;1,4;;63,4;1.702;3,9;1,09;;2007;;Wärme;Dublette;Gebäudeheizung (Hotelkomplex und Bad);Balneologie;Feinsandstein;kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;Neustadt Glewe;;;53.370086444791845, 11.58624277017484;Mecklenburg-Vorpommern;Hydrogeothermie;4;;99;2.450;35;16,03;;1994;bis 2012 Stromerzeugung mit ORC-Anlage;Wärme;Dublette;Fernwärme;;O.Keuper (Rhaet);kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;Waren;;;53.50846808868685, 12.706866064335136;Mecklenburg-Vorpommern;Hydrogeothermie;1,3;;63;1.565;17;1,34;;1984;Seit 2012 auch Balneologie;Wärme;Dublette;Fernwärme;Balneologie;Sandstein;kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;Schwerin;;tabelle;53.61160506954665, 11.378065334267013;Mecklenburg-Vorpommern;Hydrogeothermie;7,5;;56;1.311;;;;2023;;Wärme;Dublette;;;;;Nord.Becken;https://www.stadtwerke-schwerin.de/home/ueber_uns/geothermie/Geothermie-in-Schwerin-Lankow-Ablauf-und-Ergebnisse,swsr_id,786,swsr_inhalt_id,2450.html;;;;;
A_Projekt in Betrieb;Landau ;Gauss-Krüger-Koordinaten;;49.1838, 8.1211;Rheinland-Pfalz;Hydrogeothermie;5;1,8;159;3.291;70;0,92;7,72;2007;;Wärme & Strom;Dublette;Strom;Fernwärme;;privater Investor;Oberrheingraben;;;;;;
A_Projekt in Betrieb;München-Sendling;Gauss-Krüger-Koordinaten;;48.1163, 11.5577;Bayern;Hydrogeothermie;50;;107;2809,18;115;126,09;;2021;;Wärme;7 Bohrungen;Fernwärme;;;;Molassebecken;;;;;;
A_Projekt in Betrieb;Unterföhring;Gauss-Krüger-Koordinaten;;48.1934, 11.6581;Bayern;Hydrogeothermie;10;;87;2.124;75;30,1;;2009;;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;Unterföhring (2. Dublette);Gauss-Krüger-Koordinaten;;48.1942, 11.6583;Bayern;Hydrogeothermie;11,3;;93;2.341;90;42,5;;2014;;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;;;;
