Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
B_Projekt in Bau;München-Allach (MTU);48.21324297540055, 11.480947708966209;;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.mtu.de/de/ueber-uns/corporate-responsibility/produktion-instandsetzung/geothermie/;;
B_Projekt in Bau;"Neuperlach ""Michaelibad""";48.11672914961414, 11.636773335568694;;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;Seismik Giga-M;48.123769490231034, 11.570897778594139;;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;Mauerstetten;47.88280454097704, 10.654513269806042;;Bayern;Forschung;;;130;;;;;;;;;;;;;Molassebecken;;;
A_Projekt in Betrieb;Sauerlach;47.97278162324089, 11.668797058077113;geotis;Bayern;Hydrogeothermie;4;5;141;4.480;110;11,9;26,4;2013;;Wärme & Strom;Triplette;Strom;Fernwärme;;kommunal;Molassebecken;;;
A_Projekt in Betrieb;Unterschleißheim;48.27229792099072, 11.580536621795996;geotis;Bayern;Hydrogeothermie;7;;80;1.960;100;40,2;;2003;;Wärme;Dublette;Fernwärme;Balneologie;Kalkstein;privater Investor;Molassebecken;;;
A_Projekt in Betrieb;Aschheim, Feldkirchen, Kirchheim;48.170542327715914, 11.734988698327786;geotis;Bayern;Hydrogeothermie;12,4;;87,1;2.630;84,7;75,34;;2009;;Wärme;Dublette;Fernwärme;;Kalksandstein;kommunal;Molassebecken;;AFK Geothermie GmbH;2. Dublette geplant
A_Projekt in Betrieb;Unterhaching;48.05707719867894, 11.597498830573379;geotis;Bayern;Hydrogeothermie;38;;126;3.350;140;183,7;;2007;2009-2017 Stromproduktion durch Kalina-Anlage;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;
A_Projekt in Betrieb;Berlin (Reichstag);52.5186333,13.3748185;;Berlin;Aquiferspeicher;;;70;300;27,8;;;1999;;Wärme;;;;;;;;;
D_Projekt in Planung;Berlin I + II + III;52.543533, 13.355124;;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;
D_Projekt in Planung;Campus Berlin-Buch;52.641408481977344, 13.494661770210252;https://geo.brandenburg.de/?page=LBGR-Webservices;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Oranienburg;52.75528270173587, 13.23715413295646;;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Reallabor Geospeicher Berlin;52.425768,13.526191;;Berlin;Froschung;;;;;;;;;;;;;;;;;;;
A_Projekt in Betrieb;Neuruppin;52.92971670587752, 12.830142096367828;geotis;Brandenburg;Hydrogeothermie;1,4;;63,4;1.702;3,9;1,09;;2007;;Wärme;Dublette;Gebäudeheizung (Hotelkomplex und Bad);Balneologie;Feinsandstein;kommunal;Nord.Becken;;;
C_Forschungsprojekte ;Groß Schönebeck;52.90381696285989, 13.601612176917618;geotis;Brandenburg;Forschung;;1;150;4.309;;;;2011;;;;;;;;Nord.Becken;;;
D_Projekt in Planung;Bernau;52.67851,13.58949;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Brand;52.03946,13.74761;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;
D_Projekt in Planung;Premnitz;52.5282904,12.3567498;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Prenzlau;53.3214811,13.8614210;;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
