Status;Ort/sonstige Bezeichnung;Feldname;Name auf der Karte;Bundesland;Koordinaten;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
D_Projekt in Planung;Freiburg;Südlicher Oberrhein;Freiburg;Baden-Württemberg;47.99960018294129, 7.845158777389785;Hydrogeothermie;;;;;;;;;30.04.2024;;;;;;privater Investor;Oberrheingraben;;badenova WärmePlus GmbH & Co. KGTullastraße 6179108 Freiburg;;;;
D_Projekt in Planung;Traunstein;Traunstein;Traunstein;Bayern;47.86739322251717, 12.637406558652517;Hydrogeothermie;;;;;;;;;31.01.2028;;;;;;;Molassebecken;http://www.geothermie-traunstein.de/; Geothermie Traunstein AG & Co. Explorations KG, Traunstein;;;;
D_Projekt in Planung;Trostberg;Trostberg;Trostberg;Bayern;48.02656614542359, 12.554836688874541;Hydrogeothermie;;;;;;;;;30.11.2027;;;;;;;Molassebecken;;Erdwärme Alz GmbH, München;;;;
D_Projekt in Planung;Vogtlandkreis;Vogtlandkreis;Vogtlandkreis;Sachsen;50.42648230429329, 12.169992285516651;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.freiepresse.de/vogtland/plauen/geothermie-grossprojekt-am-geysir-im-vogtland-landrat-hofft-auf-kraftwerksbau-ab-2025-artikel13324080;;;;;
D_Projekt in Planung;Philippsburg;Waghäusel-Philippsburg;"Philippsburg ""Waghäusel""";Baden-Württemberg;49.245006, 8.510063;Hydrogeothermie;;;;;;;;;;;;;;;privater Investor;Oberrheingraben;Bürgerentscheid am 23.3.23;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;Hemsbach;Waldnerturm;Waldnerturm;Baden-Württemberg;49.59775628202355, 8.740053509445298;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Waldweihnacht;Waldweihnacht;Waldweihnacht;Bayern;48.12967611012164, 12.714686125247729;Hydrogeothermie;;;;;;;;;31.08.2027;;;;;;;;;Gemeinde Kirchweidach;;;;
D_Projekt in Planung;Weinheim;Weinheim-Süd;Weinheim-Süd;Baden-Württemberg;49.51303157802101, 8.625109547929297;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;;;Zukunft Geowärme GmbH;;;;
D_Projekt in Planung;Wolfratshausen;Wolfratshausen;Wolfratshausen;Bayern;47.91022277007403, 11.42485522227732;Hydrogeothermie;;;;;;;;;30.09.2027;;;;;;;;;Enex Geothermieprojekt Geretsried Nord GmbH & Co. KG, Geretsried-Gelting, Eavor Erdwärme Geretsried GmbH, Frankfurt am Main;;;;
D_Projekt in Planung;Würzburg;Würzburg;Würzburg;Bayern;49.79045753836998, 9.950922585389575;Hydrogeothermie;;;;;;;;;31.01.2028;;;;;;;;;Stadtwerke Würzburg AG;;;;
D_Projekt in Planung;Berlin Neukölln;;Berlin Neukölln;Berlin;52.4739852509537, 13.449804882363829;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://group.vattenfall.com/de/newsroom/pressemitteilungen/2023/campus-berlin-buch-projekt-renewac-fur-die-berliner-innovationsforderung-tiefengeothermie-ausgewahlt;;;;;
D_Projekt in Planung;Berlin Tegel;;Berlin Tegel;Berlin;52.585362303987914, 13.282239264382142;Hydrogeothermie;;;;;;;;;;;;;;;;;https://group.vattenfall.com/de/newsroom/pressemitteilungen/2023/campus-berlin-buch-projekt-renewac-fur-die-berliner-innovationsforderung-tiefengeothermie-ausgewahlt;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
